"time","as7.y","add.y"
0,29043414.09864089,0
0,29043414.09864089,0
0,29043414.09864089,0
80,29043414.09864089,37313257.20427941
160,29043414.09864089,30840427.1562769
180,29043414.09864089,29538679.6951823
180,33363600.16808859,29538679.6951823
240,33363600.16808859,30420095.19561155
320,33363600.16808859,33432146.11390211
360,33363600.16808859,33910391.64880686
360,32677899.13354585,33910391.64880686
400,32677899.13354585,33747241.14874231
480,32677899.13354585,32899649.83273358
540,32677899.13354585,32644414.3596821
540,32773536.74122328,32644414.3596821
560,32773536.74122328,32624303.99527034
640,32773536.74122328,32716922.65147205
720,32773536.74122328,32775640.24487098
720,26971712.42475276,32775640.24487098
800,26971712.42475276,27783632.04472202
880,26971712.42475276,25276253.0300791
900,26971712.42475276,25265183.23456019
900,26880229.87271715,25265183.23456019
960,26880229.87271715,25688860.41273336
1040,26880229.87271715,26341560.42502695
1080,26880229.87271715,26554746.91678626
1080,30060383.436256,26554746.91678626
1120,30060383.436256,27751412.78040726
1200,30060383.436256,30591302.83783321
1260,30060383.436256,30976148.06604471
1260,29885806.36318429,30976148.06604471
1280,29885806.36318429,30908262.85846861
1360,29885806.36318429,30327431.13909535
1440,29885806.36318429,29996569.89071885
1440,31444685.53403829,29996569.89071885
1520,31444685.53403829,31245168.76884223
1600,31444685.53403829,31901845.10815021
1620,31444685.53403829,31904128.93830758
1620,32956610.84461707,31904128.93830758
1680,32956610.84461707,32700402.86105732
1760,32956610.84461707,33488807.6398092
1800,32956610.84461707,33482680.43502636
1800,28690658.64614137,33482680.43502636
1840,28690658.64614137,31954133.98442953
1920,28690658.64614137,28088526.85224139
1980,28690658.64614137,27515504.95607634
1980,28952623.84820076,27515504.95607634
2000,28952623.84820076,27596174.40296154
2080,28952623.84820076,28372597.802075
2160,28952623.84820076,28814921.09143616
2160,32268248.28281212,28814921.09143616
2240,32268248.28281212,31793288.70744848
2320,32268248.28281212,33241309.40195998
2340,32268248.28281212,33247273.16348262
2340,30973505.23868075,33247273.16348262
2400,30973505.23868075,32178392.31114945
2480,30973505.23868075,30930923.40585786
2520,30973505.23868075,30762245.74235228
2520,27583300.21520758,30762245.74235228
2560,27583300.21520758,29619969.94455205
2640,27583300.21520758,26836329.31807604
2700,27583300.21520758,26526645.42345679
2700,26204177.71833589,26526645.42345679
2720,26204177.71833589,26479865.57823234
2800,26204177.71833589,25632235.74676855
2880,26204177.71833589,25620308.37823491
2880,27563122.34739383,25620308.37823491
2960,27563122.34739383,27079956.33187167
3040,27563122.34739383,27853300.87451234
3060,27563122.34739383,27882514.88780077
3060,31281938.47954075,27882514.88780077
3120,31281938.47954075,30095152.82113336
3200,31281938.47954075,32361810.16307217
3240,31281938.47954075,32443393.03762503
3240,28751992.15596702,32443393.03762503
3280,28751992.15596702,31392550.19291265
3360,28751992.15596702,28718636.93019098
3420,28751992.15596702,28201169.79510898
3420,27633956.98833022,28201169.79510898
3440,27633956.98833022,28098148.19360356
3520,27633956.98833022,27252171.63461504
3600,27633956.98833022,27185008.75322356
3600,30898981.15570182,27185008.75322356
3600.000000720032,30898981.15570182,27185008.75484523
3600.000000720032,60898981.15570182,27185008.75484523
3680,60898981.15570182,68352856.04952738
3760,60898981.15570182,63848066.59584211
3780,60898981.15570182,62574654.63907025
3780,63730791.19494623,62574654.63907025
3840,63730791.19494623,62232587.57347034
3920,63730791.19494623,63780028.28043094
3960,63730791.19494623,64052640.36960589
3960,62671273.92161936,64052640.36960589
4000,62671273.92161936,63740636.44383837
4080,62671273.92161936,62686642.29090609
4140,62671273.92161936,62462959.55212325
4140,59138544.68094344,62462959.55212325
4160,59138544.68094344,62140949.3309549
4240,59138544.68094344,58819793.40759452
4320,59138544.68094344,58048915.68958603
4320,59704844.91459739,58048915.68958603
4400,59704844.91459739,58988871.82155281
4480,59704844.91459739,59626326.95398308
4500,59704844.91459739,59687178.33249007
4500,60643957.30935287,59687178.33249007
4560,60643957.30935287,60325688.84185474
4640,60643957.30935287,60918786.12183908
4680,60643957.30935287,60939295.71469789
4680,62462171.55558637,60939295.71469789
4720,62462171.55558637,61490718.40705911
4800,62462171.55558637,62906899.57439072
4860,62462171.55558637,63047180.19737913
4860,59584065.64084023,63047180.19737913
4880,59584065.64084023,62743368.56934365
4960,59584065.64084023,59700013.84579385
5040,59584065.64084023,58832232.37829453
5040,58091193.9154454,58832232.37829453
5120,58091193.9154454,57818105.0524023
5200,58091193.9154454,57465460.00587305
5220,58091193.9154454,57508452.03803919
5220,59861490.54467493,57508452.03803919
5280,59861490.54467493,58801472.10677026
5360,59861490.54467493,60174385.8695144
5400,59861490.54467493,60298423.01261821
5400,58643141.21526335,60298423.01261821
5440,58643141.21526335,59846150.5210052
5520,58643141.21526335,58607297.83797479
5580,58643141.21526335,58370360.31778169
5580,57802279.79981119,58370360.31778169
5600,57802279.79981119,58295701.35502303
5680,57802279.79981119,57600380.85859789
5760,57802279.79981119,57496431.03788938
5760,61561448.67968398,57496431.03788938
5840,61561448.67968398,60875985.46210745
5920,61561448.67968398,62601198.22539171
5940,61561448.67968398,62623129.58074307
5940,61700060.55164903,62623129.58074307
6000,61700060.55164903,62423779.58286169
6080,61700060.55164903,62064919.78713055
6120,61700060.55164903,61931696.6311629
6120,60604818.19486109,61931696.6311629
6160,60604818.19486109,61474999.48442983
6240,60604818.19486109,60447404.32458107
6300,60604818.19486109,60299804.2851761
6300,57816111.43152923,60299804.2851761
6320,57816111.43152923,60065291.65371377
6400,57816111.43152923,57512963.51574412
6480,57816111.43152923,56938935.67239739
6480,60676529.363501,56938935.67239739
6560,60676529.363501,59772704.74878035
6640,60676529.363501,61320280.19101579
6660,60676529.363501,61373012.17792244
6660,59992659.02043831,61373012.17792244
6720,59992659.02043831,60804725.2151368
6800,59992659.02043831,60052930.71909046
6840,59992659.02043831,59930148.44858842
6840,59485024.91530629,59930148.44858842
6880,59485024.91530629,59731996.49818721
6960,59485024.91530629,59334275.31812207
7020,59485024.91530629,59307611.41860706
7020,58578504.12540516,59307611.41860706
7040,58578504.12540516,59242572.13998181
7120,58578504.12540516,58451285.33642239
7200,58578504.12540516,58283831.88313466
7200,60453155.01737528,58283831.88313466
7200.000001440012,60453155.01737528,58283831.88436419
7200.000001440012,90453155.01737528,58283831.88436419
7280,90453155.01737528,98163385.38637632
7360,90453155.01737528,93015909.28489706
7380,90453155.01737528,91734576.90442583
7380,88059494.58925977,91734576.90442583
7440,88059494.58925977,88298880.53028359
7520,88059494.58925977,86626916.19710203
7560,88059494.58925977,86770209.00642583
7560,90640385.45847754,86770209.00642583
7600,90640385.45847754,87953165.39885604
7680,90640385.45847754,90721015.45979086
7740,90640385.45847754,91231651.29316044
7740,91617649.32880929,91231651.29316044
7760,91617649.32880929,91316475.08517331
7840,91617649.32880929,92005806.63059027
7920,91617649.32880929,92029350.99977438
7920,85992523.70805281,92029350.99977438
8000,85992523.70805281,86979013.39807755
8080,85992523.70805281,84419984.17225409
8100,85992523.70805281,84391330.87168182
8100,91936329.58193861,84391330.87168182
8160,91936329.58193861,88463217.49430993
8240,91936329.58193861,92990117.46129802
8280,91936329.58193861,93402010.12307329
8280,85305702.37098879,93402010.12307329
8320,85305702.37098879,91037966.19812256
8400,85305702.37098879,84716975.53431986
8460,85305702.37098879,83641473.18093698
8460,87718403.04616164,83641473.18093698
8480,87718403.04616164,83906240.96380709
8560,87718403.04616164,86958466.26815189
8640,87718403.04616164,88103923.5075947
8640,89803213.43306097,88103923.5075947
8720,89803213.43306097,89845655.41195272
8800,89803213.43306097,90553712.15670076
8820,89803213.43306097,90524296.358677
8820,89115938.46707816,90524296.358677
8880,89115938.46707816,89866614.89527917
8960,89115938.46707816,89133267.02133386
9000,89115938.46707816,89026229.54833761
9000,88762024.76483299,89026229.54833761
9040,88762024.76483299,88890694.73025258
9120,88762024.76483299,88635529.14504184
9180,88762024.76483299,88628824.76975635
9180,89202209.91031869,88628824.76975635
9200,89202209.91031869,88681911.35745059
9280,89202209.91031869,89169291.62023945
9360,89202209.91031869,89312216.47459354
9360,88685839.24365386,89312216.47459354
9440,88685839.24365386,88829338.0163247
9520,88685839.24365386,88563041.5207864
9540,88685839.24365386,88555270.70231764
9540,95957898.58080018,88555270.70231764
9600,95957898.58080018,93037362.3024523
9680,95957898.58080018,97807324.2520794
9720,95957898.58080018,98076108.03524622
9720,91083284.04133762,98076108.03524622
9760,91083284.04133762,96114853.71018916
9840,91083284.04133762,91008936.98920713
9900,91083284.04133762,90019601.64196225
9900,92100628.65436473,90019601.64196225
9920,92100628.65436473,90105384.61669657
10000,92100628.65436473,91534900.77961534
10080,92100628.65436473,92170257.74811624
10080,91881966.4911574,92170257.74811624
10160,91881966.4911574,92024986.0762088
10240,91881966.4911574,91870100.94744876
10260,91881966.4911574,91857692.40154025
10260,92408400.88856943,91857692.40154025
10320,92408400.88856943,92174227.6897759
10400,92408400.88856943,92530201.16125847
10440,92408400.88856943,92554383.27907525
10440,88826451.13197263,92554383.27907525
10480,88826451.13197263,91340740.4430877
10560,88826451.13197263,88224726.63852505
10620,88826451.13197263,87797518.14589289
10620,90451905.5888917,87797518.14589289
10640,90451905.5888917,88001896.44780177
10720,90451905.5888917,90031640.8757017
10800,90451905.5888917,90748076.41231559
10800,90948262.17966829,90748076.41231559
10800.00000216,90948262.17966829,90748076.41621536
10800.00000216,120948262.1796683,90748076.41621536
10880,120948262.1796683,129250606.3530949
10960,120948262.1796683,123267783.8360547
10980,120948262.1796683,121945329.1920882
